 0.200000 8
robin 0.200000 15
role 0.200000 12
run 0.200000 7
rut 0.200000 10
sai 0.800000 11
saturdai 0.200000 9
schedul 0.200000 11
school 0.200000 10
scoreboard 0.200000 8
scot 0.200000 11
search 1.000000 12
secretari 0.200000 10
senior 0.200000 9
sent 0.200000 10
sentenc 0.200000 5
sep 0.200000 6
separ 0.200000 8
septemb 0.600000 9
servic 0.200000 11
set 0.200000 10
sever 0.200000 13
sex 0.200000 12
sexual 0.200000 14
shar 0.200000 13
share 0.200000 11
shelter 0.200000 13
similar 0.200000 15
simpli 0.200000 14
situat 0.200000 12
sleep 0.200000 7
slept 0.200000 8
slowli 0.200000 10
sound 0.200000 11
southern 0.200000 9
special 0.200000 11
specif 0.200000 10
spend 0.200000 11
spice 0.200000 12
splash 0.200000 4
split 0.200000 6
sport 1.000000 7
sportscast 0.200000 5
spread 0.200000 8
square 0.200000 7
stable 0.200000 6
staf 0.200000 7
stake 0.200000 3
start 0.200000 7
state 0.200000 8
statem 0.200000 9
station 0.200000 6
step 0.200000 7
steril 0.200000 5
steve 0.200000 8
stood 0.200000 7
stop 0.400000 9
stori 0.600000 10
strain 0.200000 11
street 0.200000 8
stuck 0.200000 9
studi 0.200000 10
suddenli 0.200000 6
suggest 0.400000 7
surpris 0.200000 8
tabloid 0.200000 10
target 0.200000 9
tb 0.200000 4
tech 1.000000 7
termin 0.200000 6
test 0.200000 7
testimoni 0.200000 5
thank 0.200000 6
threate 0.200000 1
throughout 0.200000 4
thu 0.200000 6
thursdai 0.200000 5
ti 0.200000 7
time 0.200000 9
told 0.200000 11
tonight 0.200000 10
toronto 0.200000 8
tortur 0.200000 6
track 0.200000 10
tradition 0.200000 9
transmiss 0.200000 10
transmit 0.200000 8
trial 0.200000 9
tuberculosi 0.200000 7
tue 0.200000 9
tv 0.600000 8
understand 0.200000 3
univers 0.200000 8
updat 0.200000 9
upn 0.200000 7
upper 0.200000 8
urban 0.200000 6
us 0.200000 7
vaccin 0.200000 5
view 0.400000 4
warner 0.200000 6
wb 0.200000 5
wear 0.400000 7
web 0.200000 6
wednesdai 3.400000 2
week 0.200000 6
weekend 0.200000 8
whom 0.200000 7
william 0.200000 5
wish 0.200000 7
woman 0.200000 6
women 0.200000 4
word 0.200000 5
world 1.000000 6
write 1.000000 3
yahoo 1.000000 4
york 0.200000 5
ñ 0.200000 6
 0.200000 8
abc 0.200000 10
abrupt 0.200000 9
abus 0.200000 13
accept 0.200000 12
access 0.200000 11
accord 0.200000 10
accus 0.200000 11
addition 0.200000 7
